strategy;score;Regression simple;Regression Ridge;Regression Lasso;Regression Elastic Net;Linear SVR;MLP Regression;Dummy (MEAN);ADA;Random Forest
strategy1c;train_rmse;1000268.807360259;1011676.2735936199;1006418.4051452868;1006747.1371926948;1084496.6380972438;573107.8679035094;2124674.7332681194;199121.91106124694;362559.166495045
strategy1c;test_rmse;991397.6217690633;986464.4619915958;979773.6847420672;985436.0589498798;1037014.3807270454;1345574.6871651933;2013101.677678763;938761.2870235635;916433.0280009641
strategy1c;train_r2;0.778359793978252;0.7732756199568706;0.7756261529233273;0.7754795520267359;0.7394617369014268;0.9272408134727605;0.0;0.9912167914078254;0.970881240265727
strategy1c;test_r2;0.7569063868029589;0.7593196183280405;0.7625734156120679;0.7598211820973312;0.7340209924398721;0.552190378464368;-0.002326528168509645;0.7820343049746911;0.792279543399794
strategy1c;train_time;(0.0, 0.008277);(0.0, 0.104917);(0.0, 0.178);(0.0, 5.850443);(0.0, 2.170162);(0.0, 37.087809);(0.0, 0.0);(0.0, 28.871205);(0.0, 25.193906)
strategy2b;train_rmse;1124482.9889789696;1153623.799287694;1150415.8036173878;1144822.2128651098;1217306.8248871167;638800.263363758;2068344.8581256748;493444.2767097861;460075.16794057854
strategy2b;test_rmse;7.836840044216598e+16;1192387.855544506;1187313.4424507406;1191724.4663787088;1216160.8389291905;1402520.9091414926;2088801.4599956435;1166624.587079602;1188600.1332970937
strategy2b;train_r2;0.7044303224913908;0.6889125350032215;0.6906402727082888;0.6936413177606832;0.6536188802595214;0.9046140803996443;0.0;0.9430845295206526;0.9505220514522169
strategy2b;test_r2;-1.4078776916278258e+21;0.674074717630625;0.676842877885458;0.6744372760953183;0.6609490295302201;0.5490777645460354;-0.00017797572576472298;0.6880067396736769;0.6761420880199012
strategy2b;train_time;(0.0, 0.026504);(0.0, 0.233022);(0.0, 0.458037);(0.0, 13.709039);(0.0, 8.34465);(1.0, 4.196860000000001);(0.0, 0.0);(0.0, 43.266684);(0.0, 44.117352)
strategy2c;train_rmse;1036536.0882180625;984628.8965060465;979697.8038545348;975905.6649938442;1056997.5180136776;491452.2495168893;2124674.7332681194;196856.67675623647;369747.52127139625
strategy2c;test_rmse;3.286108963578559e+17;961624.7774317738;959111.5493281999;961118.2544473495;1036520.2664843466;1293820.2515401032;2013101.677678763;890288.3998125767;914751.489454074
strategy2c;train_r2;0.7619961689482081;0.7852366114321778;0.7873823261297299;0.7890251088436215;0.7525069381857316;0.9464970475849493;0.0;0.991415492349794;0.969715135428057
strategy2c;test_r2;-2.670802187932751e+22;0.7712879255029339;0.7724818516433376;0.7715288040963202;0.7342743981939848;0.5859758325115445;-0.002326528168509645;0.8039624651680661;0.7930411255180119
strategy2c;train_time;(0.0, 0.012003);(0.0, 0.130997);(0.0, 0.26302);(0.0, 7.623578);(0.0, 3.364267);(0.0, 43.338284);(0.0, 0.0);(0.0, 31.932423);(0.0, 30.354284)
